Database name,NP type,Number of unique molecules with correct structure,Is maintained,Is updated,Has metadata,Link,Most recent publication (DOI)
AfroCancer,"tm, plants, africa",365,NA,no,no,NA,https://doi.org/10.1021/ci5003697
AfroDB,"tm, plants, africa",874,no,no,no,https://zinc.docking.org/catalogs/afronp,doi.org/10.1371/journal.pone.0078085
AfroMalariaDB,"tm, plants, africa",252,NA,no,no,NA,doi.org/10.1186/s13588-014-0006-x
AnalytiCon Discovery,"bacteria, plants, industrial",4908,yes,yes,no,https://ac-discovery.com/screening-libraries/,x
BIOFAQUIM,"plant, fungi, america",400,yes,yes,yes,https://biofacquim.herokuapp.com,doi.org/10.3390/biom9010031
BitterDB,food,631,yes,yes,yes,http://bitterdb.agri.huji.ac.il/dbbitter.php,"doi.org/10.1093/nar/gky974
"
Carotenoids Database,structure,991,yes,yes,yes,http://carotenoiddb.jp,doi.org/10.1093/database/bax004
ChEBI,chemicals,14621,yes,yes,yes,https://www.ebi.ac.uk/chebi/,doi.org/10.1093/nar/gkv1031
ChEMBL,chemicals,1581,yes,yes,no,https://www.ebi.ac.uk/chembl/,doi.org/10.1093/nar/gkw1074
ChemSpider,chemicals,9029,yes,yes,no,http://www.chemspider.com,doi.org/10.1021/ed100697w
CMAUP,plants,20873,yes,no,yes,http://bidd2.nus.edu.sg/CMAUP/,doi.org/10.1093/nar/gky965
ConMedNP,"plants, tm, africa",2504,NA,NA,no,NA,doi.org/10.1039/C3RA43754J
Drugbank NPs,drug-like,2617,yes,yes,yes,https://www.drugbank.ca/drugs?utf8=✓&approved=1&nutraceutical=1&filter=true,doi.org/10.1093/nar/gkx1037
ETM-DB,"tm, plants, africa",1653,yes,yes,yes,http://biosoft.kaist.ac.kr/etm/home.php/,doi.org/10.1186/s12906-019-2634-1
FooDB,food,22223,yes,yes,yes,http://foodb.ca,x
GNPS,dereplication,6708,yes,yes,no,https://gnps.ucsd.edu/,doi.org/10.1038/nbt.3597
HIM,"drug-like, tm, plants",962,no,no,unknown,"http://zinc.docking.org/catalogs/himnp
http://58.40.126.120:8080/him/","doi.org/10.1186/1758-2946-5-28

"
HIT,"drug-like, tm, plants",472,no,no,unknown,"zinc.docking.org/catalogs/hitnp
lifecenter.sgst.cn/hit",doi.org/10.1093/nar/gkq1165
Indofine Chemical Company,"generalistic, industrial",46,yes,,no,http://www.indofinechemical.com,x
InflamNat,drug-like,536,NA,NA,yes,NA,doi.org/10.1021/acs.jcim.8b00560
InPACdb,"drug-like, plants, asia",121,no,no,unknown,http://www.inpacdb.org/,doi.org/10.6026/97320630004071
