db1,db2,sim
afrocancer,afrodb,16.67
afrocancer,chebi_np,16.67
afrocancer,cmaup,22.05
afrocancer,conmednp,54.10
afrocancer,etm,10.26
afrocancer,foodb,14.36
afrocancer,npass,30.26
afrocancer,nubbe,11.54
afrocancer,nubbedb,11.54
afrocancer,supernatural2,45.64
afrocancer,tcmdb_taiwan,26.41
afrocancer,tcmid,14.87
afrocancer,tipdb,16.92
afrocancer,unpd,56.67
afrocancer,zinc_np,28.21
afrodb,chebi_np,13.94
afrodb,cmaup,17.51
afrodb,conmednp,21.80
afrodb,foodb,11.11
afrodb,npass,24.63
afrodb,supernatural2,37.95
afrodb,tcmdb_taiwan,20.65
afrodb,tcmid,10.48
afrodb,tipdb,12.58
afrodb,unpd,45.49
afrodb,zinc_np,80.40
afromalariadb,afrodb,24.53
afromalariadb,chebi_np,16.60
afromalariadb,chemspider_np,10.94
afromalariadb,cmaup,24.91
afromalariadb,conmednp,43.77
afromalariadb,foodb,15.47
afromalariadb,mitishamba,13.21
afromalariadb,nanpdb,11.32
afromalariadb,npass,32.08
afromalariadb,supernatural2,59.25
afromalariadb,tcmdb_taiwan,27.17
afromalariadb,tcmid,16.23
afromalariadb,tipdb,16.98
afromalariadb,unpd,64.91
afromalariadb,zinc_np,44.15
analyticon_np,chebi_np,15.35
analyticon_np,cmaup,22.83
analyticon_np,foodb,17.27
analyticon_np,gnps,39.77
analyticon_np,npass,27.71
analyticon_np,npedia,10.65
analyticon_np,supernatural2,64.56
analyticon_np,tcmdb_taiwan,25.70
analyticon_np,tcmid,14.11
analyticon_np,tipdb,12.61
analyticon_np,unpd,57.31
analyticon_np,zinc_np,67.03
biofacquim,analyticon_np,15.71
biofacquim,chebi_np,23.57
biofacquim,cmaup,28.57
biofacquim,conmednp,11.90
biofacquim,etm,10.48
biofacquim,foodb,21.90
biofacquim,gnps,13.81
biofacquim,knapsack,10.24
biofacquim,nanpdb,14.05
biofacquim,npass,45.71
biofacquim,npatlas,12.14
biofacquim,npcare,11.90
biofacquim,npedia,13.57
biofacquim,nubbe,13.10
biofacquim,nubbedb,13.10
biofacquim,supernatural2,62.38
biofacquim,tcmdb_taiwan,31.67
biofacquim,tcmid,19.52
biofacquim,tipdb,19.52
biofacquim,unpd,72.86
biofacquim,zinc_np,26.43
bitterdb,analyticon_np,12.08
bitterdb,chebi_np,32.42
bitterdb,chemspider_np,11.01
bitterdb,cmaup,33.64
bitterdb,drugbank_np,34.86
bitterdb,etm,12.84
bitterdb,foodb,41.13
bitterdb,gnps,26.45
bitterdb,him,10.09
bitterdb,ibs_np,13.30
bitterdb,nanpdb,10.70
bitterdb,npact,11.31
bitterdb,npass,42.35
bitterdb,npcare,10.24
bitterdb,npedia,29.66
bitterdb,pubchem_np,16.36
bitterdb,supernatural2,53.36
bitterdb,tcmdb_taiwan,33.18
bitterdb,tcmid,19.42
bitterdb,tipdb,16.51
bitterdb,tppt,13.91
bitterdb,unpd,48.01
bitterdb,zinc_np,21.87
carotenoids,chebi_np,10.90
carotenoids,chemspider_np,75.21
carotenoids,foodb,19.42
carotenoids,knapsack,13.29
carotenoids,supernatural2,46.59
carotenoids,unpd,48.64
chebi_np,cmaup,22.36
chebi_np,foodb,31.85
chebi_np,npass,34.30
chebi_np,supernatural2,55.67
chebi_np,tcmdb_taiwan,22.73
chebi_np,tcmid,13.00
chebi_np,tipdb,11.49
chebi_np,unpd,53.23
chebi_np,zinc_np,18.50
chembl_np,drugbank_np,36.23
chembl_np,gnps,12.48
chembl_np,npass,12.64
chembl_np,npedia,23.38
chembl_np,supernatural2,22.80
chembl_np,unpd,15.43
chemspider_np,npass,15.99
chemspider_np,npatlas,14.66
chemspider_np,npedia,15.66
chemspider_np,streptomedb,35.44
chemspider_np,supernatural2,33.60
chemspider_np,unpd,38.51
cmaup,chebi_np,13.87
cmaup,foodb,15.40
cmaup,npass,31.69
cmaup,supernatural2,62.91
cmaup,tcmdb_taiwan,33.61
cmaup,tcmid,18.38
cmaup,tipdb,11.20
cmaup,unpd,68.63
cmaup,zinc_np,27.87
conmednp,chebi_np,11.64
conmednp,cmaup,17.42
conmednp,foodb,11.10
conmednp,npass,21.17
conmednp,supernatural2,40.70
